
Current theta : [ 0.144297 , -0.553031 , 0.145842 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0.23	-1.96359e-05	3.36938e-05	0.505703	0.144297	-0.503031	0.145842
0.24	1.40579e-05	-2.40636e-05	0.505731	0.144297	-0.503031	0.145842
0.25	-1.00057e-05	1.71576e-05	0.505751	0.144297	-0.503031	0.145842
0.26	7.15186e-06	-1.22482e-05	0.505765	0.144297	-0.503031	0.145842
0.27	-5.09629e-06	8.73592e-06	0.505776	0.144297	-0.503031	0.145842
0.28	3.63963e-06	-6.23476e-06	0.505783	0.144297	-0.503031	0.145842
0.29	-2.59513e-06	4.44767e-06	0.505788	0.144297	-0.503031	0.145842
0.3	1.85254e-06	-3.17387e-06	0.505792	0.144297	-0.503031	0.145842
0.31	-1.32133e-06	2.26434e-06	0.505794	0.144297	-0.503031	0.145842
0.32	9.43014e-07	-1.61573e-06	0.505796	0.144297	-0.503031	0.145842
0.33	-6.72719e-07	1.15277e-06	0.505797	0.144297	-0.503031	0.145842
0.34	4.80052e-07	-8.22538e-07	0.505798	0.144297	-0.503031	0.145842
0.35	-3.42486e-07	5.86868e-07	0.505799	0.144297	-0.503031	0.145842
0.36	2.44382e-07	-4.18741e-07	0.5058	0.144297	-0.503031	0.145842
0.37	-1.74359e-07	2.98769e-07	0.5058	0.144297	-0.503031	0.145842
0.38	1.2441e-07	-2.13175e-07	0.5058	0.144297	-0.503031	0.145842
0.39	-8.87648e-08	1.521e-07	0.5058	0.144297	-0.503031	0.145842
0.4	6.33352e-08	-1.08524e-07	0.5058	0.144297	-0.503031	0.145842
0.41	-4.51893e-08	7.74323e-08	0.5058	0.144297	-0.503031	0.145842
0.42	3.2243e-08	-5.52484e-08	0.505801	0.144297	-0.503031	0.145842
0.43	-2.30054e-08	3.94199e-08	0.505801	0.144297	-0.503031	0.145842
0.44	1.64145e-08	-2.81263e-08	0.505801	0.144297	-0.503031	0.145842
0.45	-1.17118e-08	2.00682e-08	0.505801	0.144297	-0.503031	0.145842
0.46	8.35641e-09	-1.43187e-08	0.505801	0.144297	-0.503031	0.145842
0.47	-5.96232e-09	1.02165e-08	0.505801	0.144297	-0.503031	0.145842
0.48	4.25414e-09	-7.28949e-09	0.505801	0.144297	-0.503031	0.145842
0.49	-3.03534e-09	5.20107e-09	0.505801	0.144297	-0.503031	0.145842
0.5	2.16573e-09	-3.71099e-09	0.505801	0.144297	-0.503031	0.145842
0.51	-1.54526e-09	2.6478e-09	0.505801	0.144297	-0.503031	0.145842
0.52	1.10255e-09	-1.88922e-09	0.505801	0.144297	-0.503031	0.145842
0.53	-7.86671e-10	1.34796e-09	0.505801	0.144297	-0.503031	0.145842
0.54	5.61293e-10	-9.61777e-10	0.505801	0.144297	-0.503031	0.145842
0.55	-4.00485e-10	6.86232e-10	0.505801	0.144297	-0.503031	0.145842
0.56	2.85747e-10	-4.89629e-10	0.505801	0.144297	-0.503031	0.145842
0.57	-2.03882e-10	3.49352e-10	0.505801	0.144297	-0.503031	0.145842
0.58	1.4547e-10	-2.49264e-10	0.505801	0.144297	-0.503031	0.145842
0.59	-1.03794e-10	1.77851e-10	0.505801	0.144297	-0.503031	0.145842
0.6	7.40572e-11	-1.26897e-10	0.505801	0.144297	-0.503031	0.145842
0.61	-5.28401e-11	9.05417e-11	0.505801	0.144297	-0.503031	0.145842
0.62	3.77016e-11	-6.46018e-11	0.505801	0.144297	-0.503031	0.145842
0.63	-2.69002e-11	4.60936e-11	0.505801	0.144297	-0.503031	0.145842
0.64	1.91934e-11	-3.2888e-11	0.505801	0.144297	-0.503031	0.145842
0.65	-1.36946e-11	2.34657e-11	0.505801	0.144297	-0.503031	0.145842
0.66	9.77113e-12	-1.67429e-11	0.505801	0.144297	-0.503031	0.145842
0.67	-6.97174e-12	1.19461e-11	0.505801	0.144297	-0.503031	0.145842
0.68	4.97436e-12	-8.52359e-12	0.505801	0.144297	-0.503031	0.145842
0.69	-3.54923e-12	6.08161e-12	0.505801	0.144297	-0.503031	0.145842
0.7	2.53239e-12	-4.33925e-12	0.505801	0.144297	-0.503031	0.145842
0.71	-1.80687e-12	3.09607e-12	0.505801	0.144297	-0.503031	0.145842
0.72	1.28921e-12	-2.20906e-12	0.505801	0.144297	-0.503031	0.145842
0.73	-9.19854e-13	1.57617e-12	0.505801	0.144297	-0.503031	0.145842
0.74	6.56319e-13	-1.12461e-12	0.505801	0.144297	-0.503031	0.145842
0.75	-4.68286e-13	8.0241e-13	0.505801	0.144297	-0.503031	0.145842
0.76	3.34124e-13	-5.72523e-13	0.505801	0.144297	-0.503031	0.145842
