Something 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
161	0.0196292	0.0196292	0.0277598	11.2525	0	1
162	0.0194329	0.0194329	0.0274822	11.28	0	1
163	0.0192385	0.0192385	0.0272074	11.3072	0	1
164	0.0190461	0.0190461	0.0269353	11.3341	0	1
165	0.0188557	0.0188557	0.026666	11.3608	0	1
166	0.0186671	0.0186671	0.0263993	11.3872	0	1
167	0.0184805	0.0184805	0.0261353	11.4133	0	1
168	0.0182957	0.0182957	0.025874	11.4392	0	1
169	0.0181127	0.0181127	0.0256152	11.4648	0	1
170	0.0179316	0.0179316	0.0253591	11.4902	0	1
171	0.0177523	0.0177523	0.0251055	11.5153	0	1
172	0.0175747	0.0175747	0.0248544	11.5401	0	1
173	0.017399	0.017399	0.0246059	11.5647	0	1
174	0.017225	0.017225	0.0243598	11.5891	0	1
175	0.0170527	0.0170527	0.0241162	11.6132	0	1
176	0.0168822	0.0168822	0.0238751	11.6371	0	1
177	0.0167134	0.0167134	0.0236363	11.6607	0	1
178	0.0165463	0.0165463	0.0233999	11.6841	0	1
179	0.0163808	0.0163808	0.0231659	11.7073	0	1
180	0.016217	0.016217	0.0229343	11.7302	0	1
181	0.0160548	0.0160548	0.0227049	11.7529	0	1
182	0.0158943	0.0158943	0.0224779	11.7754	0	1
183	0.0157353	0.0157353	0.0222531	11.7977	0	1
184	0.015578	0.015578	0.0220306	11.8197	0	1
185	0.0154222	0.0154222	0.0218103	11.8415	0	1
186	0.015268	0.015268	0.0215922	11.8631	0	1
187	0.0151153	0.0151153	0.0213763	11.8845	0	1
188	0.0149641	0.0149641	0.0211625	11.9056	0	1
189	0.0148145	0.0148145	0.0209509	11.9266	0	1
190	0.0146664	0.0146664	0.0207414	11.9473	0	1
191	0.0145197	0.0145197	0.0205339	11.9679	0	1
192	0.0143745	0.0143745	0.0203286	11.9882	0	1
193	0.0142307	0.0142307	0.0201253	12.0083	0	1
194	0.0140884	0.0140884	0.0199241	12.0282	0	1
195	0.0139476	0.0139476	0.0197248	12.048	0	1
196	0.0138081	0.0138081	0.0195276	12.0675	0	1
197	0.01367	0.01367	0.0193323	12.0868	0	1
198	0.0135333	0.0135333	0.019139	12.106	0	1
199	0.013398	0.013398	0.0189476	12.1249	0	1
200	0.013264	0.013264	0.0187581	12.1437	0	1
201	0.0131313	0.0131313	0.0185705	12.1622	0	1
202	0.013	0.013	0.0183848	12.1806	0	1
203	0.01287	0.01287	0.018201	12.1988	0	1
204	0.0127413	0.0127413	0.018019	12.2168	0	1
205	0.0126139	0.0126139	0.0178388	12.2347	0	1
206	0.0124878	0.0124878	0.0176604	12.2523	0	1
207	0.0123629	0.0123629	0.0174838	12.2698	0	1
208	0.0122393	0.0122393	0.0173089	12.2871	0	1
209	0.0121169	0.0121169	0.0171359	12.3043	0	1
210	0.0119957	0.0119957	0.0169645	12.3212	0	1
211	0.0118758	0.0118758	0.0167949	12.338	0	1
212	0.011757	0.011757	0.0166269	12.3547	0	1
213	0.0116394	0.0116394	0.0164606	12.3711	0	1
214	0.011523	0.011523	0.016296	12.3874	0	1
215	0.0114078	0.0114078	0.0161331	12.4035	0	1
216	0.0112937	0.0112937	0.0159717	12.4195	0	1
217	0.0111808	0.0111808	0.015812	12.4353	0	1
218	0.011069	0.011069	0.0156539	12.451	0	1
219	0.0109583	0.0109583	0.0154974	12.4665	0	1
220	0.0108487	0.0108487	0.0153424	12.4818	0	1
221	0.0107402	0.0107402	0.015189	12.497	0	1
222	0.0106328	0.0106328	0.0150371	12.512	0	1
223	0.0105265	0.0105265	0.0148867	12.5269	0	1
224	0.0104212	0.0104212	0.0147378	12.5417	0	1
225	0.010317	0.010317	0.0145905	12.5563	0	1
226	0.0102138	0.0102138	0.0144446	12.5707	0	1
227	0.0101117	0.0101117	0.0143001	12.585	0	1
228	0.0100106	0.0100106	0.0141571	12.5992	0	1
229	0.00991048	0.00991048	0.0140155	12.6132	0	1
230	0.00981138	0.00981138	0.0138754	12.6271	0	1
231	0.00971326	0.00971326	0.0137366	12.6408	0	1
232	0.00961613	0.00961613	0.0135993	12.6544	0	1
233	0.00951997	0.00951997	0.0134633	12.6679	0	1
234	0.00942477	0.00942477	0.0133286	12.6812	0	1
235	0.00933052	0.00933052	0.0131954	12.6944	0	1
236	0.00923722	0.00923722	0.0130634	12.7074	0	1
237	0.00914484	0.00914484	0.0129328	12.7204	0	1
238	0.0090534	0.0090534	0.0128034	12.7332	0	1
239	0.00896286	0.00896286	0.0126754	12.7458	0	1
240	0.00887323	0.00887323	0.0125486	12.7584	0	1
241	0.0087845	0.0087845	0.0124232	12.7708	0	1
242	0.00869666	0.00869666	0.0122989	12.7831	0	1
243	0.00860969	0.00860969	0.0121759	12.7953	0	1
244	0.00852359	0.00852359	0.0120542	12.8074	0	1
245	0.00843836	0.00843836	0.0119336	12.8193	0	1
246	0.00835397	0.00835397	0.0118143	12.8311	0	1
247	0.00827043	0.00827043	0.0116962	12.8428	0	1
248	0.00818773	0.00818773	0.0115792	12.8544	0	1
249	0.00810585	0.00810585	0.0114634	12.8658	0	1
250	0.00802479	0.00802479	0.0113488	12.8772	0	1
251	0.00794455	0.00794455	0.0112353	12.8884	0	1
252	0.0078651	0.0078651	0.0111229	12.8995	0	1
253	0.00778645	0.00778645	0.0110117	12.9106	0	1
254	0.00770858	0.00770858	0.0109016	12.9215	0	1
255	0.0076315	0.0076315	0.0107926	12.9322	0	1
256	0.00755518	0.00755518	0.0106846	12.9429	0	1
257	0.00747963	0.00747963	0.0105778	12.9535	0	1
258	0.00740484	0.00740484	0.010472	12.964	0	1
259	0.00733079	0.00733079	0.0103673	12.9744	0	1
260	0.00725748	0.00725748	0.0102636	12.9846	0	1
261	0.0071849	0.0071849	0.010161	12.9948	0	1
262	0.00711306	0.00711306	0.0100594	13.0048	0	1
263	0.00704192	0.00704192	0.00995879	13.0148	0	1
264	0.00697151	0.00697151	0.0098592	13.0247	0	1
265	0.00690179	0.00690179	0.00976061	13.0344	0	1
266	0.00683277	0.00683277	0.009663	13.0441	0	1
267	0.00676444	0.00676444	0.00956637	13.0536	0	1
268	0.0066968	0.0066968	0.00947071	13.0631	0	1
269	0.00662983	0.00662983	0.009376	13.0725	0	1
270	0.00656353	0.00656353	0.00928224	13.0818	0	1
271	0.0064979	0.0064979	0.00918942	13.091	0	1
272	0.00643292	0.00643292	0.00909752	13.1001	0	1
273	0.00636859	0.00636859	0.00900655	13.1091	0	1
274	0.0063049	0.0063049	0.00891648	13.118	0	1
275	0.00624186	0.00624186	0.00882732	13.1268	0	1
276	0.00617944	0.00617944	0.00873904	13.1355	0	1
277	0.00611764	0.00611764	0.00865165	13.1442	0	1
278	0.00605647	0.00605647	0.00856514	13.1528	0	1
279	0.0059959	0.0059959	0.00847949	13.1612	0	1
280	0.00593594	0.00593594	0.00839469	13.1696	0	1
281	0.00587658	0.00587658	0.00831074	13.178	0	1
282	0.00581782	0.00581782	0.00822764	13.1862	0	1
283	0.00575964	0.00575964	0.00814536	13.1943	0	1
284	0.00570204	0.00570204	0.00806391	13.2024	0	1
285	0.00564502	0.00564502	0.00798327	13.2104	0	1
286	0.00558857	0.00558857	0.00790343	13.2183	0	1
287	0.00553269	0.00553269	0.0078244	13.2261	0	1
288	0.00547736	0.00547736	0.00774616	13.2338	0	1
289	0.00542259	0.00542259	0.00766869	13.2415	0	1
290	0.00536836	0.00536836	0.00759201	13.2491	0	1
291	0.00531468	0.00531468	0.00751609	13.2566	0	1
292	0.00526153	0.00526153	0.00744093	13.2641	0	1
293	0.00520891	0.00520891	0.00736652	13.2714	0	1
294	0.00515683	0.00515683	0.00729285	13.2787	0	1
295	0.00510526	0.00510526	0.00721992	13.2859	0	1
296	0.0050542	0.0050542	0.00714772	13.2931	0	1
297	0.00500366	0.00500366	0.00707625	13.3002	0	1
298	0.00495363	0.00495363	0.00700548	13.3072	0	1
299	0.00490409	0.00490409	0.00693543	13.3141	0	1
300	0.00485505	0.00485505	0.00686608	13.321	0	1
301	0.0048065	0.0048065	0.00679741	13.3278	0	1
302	0.00475843	0.00475843	0.00672944	13.3345	0	1
303	0.00471085	0.00471085	0.00666215	13.3412	0	1
304	0.00466374	0.00466374	0.00659552	13.3478	0	1
305	0.0046171	0.0046171	0.00652957	13.3543	0	1
306	0.00457093	0.00457093	0.00646427	13.3608	0	1
307	0.00452522	0.00452522	0.00639963	13.3672	0	1
308	0.00447997	0.00447997	0.00633563	13.3735	0	1
309	0.00443517	0.00443517	0.00627228	13.3798	0	1
310	0.00439082	0.00439082	0.00620956	13.386	0	1
311	0.00434691	0.00434691	0.00614746	13.3921	0	1
312	0.00430344	0.00430344	0.00608599	13.3982	0	1
313	0.00426041	0.00426041	0.00602513	13.4042	0	1
314	0.0042178	0.0042178	0.00596487	13.4102	0	1
315	0.00417563	0.00417563	0.00590523	13.4161	0	1
316	0.00413387	0.00413387	0.00584617	13.4219	0	1
317	0.00409253	0.00409253	0.00578771	13.4277	0	1
318	0.0040516	0.0040516	0.00572983	13.4335	0	1
319	0.00401109	0.00401109	0.00567254	13.4391	0	1
320	0.00397098	0.00397098	0.00561581	13.4447	0	1
321	0.00393127	0.00393127	0.00555965	13.4503	0	1
322	0.00389196	0.00389196	0.00550406	13.4558	0	1
323	0.00385304	0.00385304	0.00544902	13.4613	0	1
324	0.00381451	0.00381451	0.00539453	13.4667	0	1
325	0.00377636	0.00377636	0.00534058	13.472	0	1
